2016-05-05 23:21:24,054 |main                 |EntitySaxReader               |I| Beginning import from URL: file:/home/steven/repository/socialmanagement/docker/playground/ofbiz/apache-ofbiz-13.07.03/applications/party/data/PartySecurityPermissionSeedData.xml
2016-05-05 23:21:24,054 |main                 |EntitySaxReader               |I| Transaction Timeout set to 2 hours (7200 seconds)
2016-05-05 23:21:24,103 |main                 |EntitySaxReader               |I| Finished 34 values from file:/home/steven/repository/socialmanagement/docker/playground/ofbiz/apache-ofbiz-13.07.03/applications/party/data/PartySecurityPermissionSeedData.xml
2016-05-05 23:21:24,103 |main                 |EntitySaxReader               |I| Beginning import from URL: file:/home/steven/repository/socialmanagement/docker/playground/ofbiz/apache-ofbiz-13.07.03/applications/party/data/PartyGeoPointData.xml
2016-05-05 23:21:24,104 |main                 |EntitySaxReader               |I| Transaction Timeout set to 2 hours (7200 seconds)
2016-05-05 23:21:24,144 |main                 |EntitySaxReader               |I| Finished 3 values from file:/home/steven/repository/socialmanagement/docker/playground/ofbiz/apache-ofbiz-13.07.03/applications/party/data/PartyGeoPointData.xml
2016-05-05 23:21:24,145 |main                 |EntitySaxReader               |I| Beginning import from URL: file:/home/steven/repository/socialmanagement/docker/playground/ofbiz/apache-ofbiz-13.07.03/applications/party/data/PartyPortletData.xml
2016-05-05 23:21:24,145 |main                 |EntitySaxReader               |I| Transaction Timeout set to 2 hours (7200 seconds)
2016-05-05 23:21:24,278 |main                 |EntitySaxReader               |I| Finished 56 values from file:/home/steven/repository/socialmanagement/docker/playground/ofbiz/apache-ofbiz-13.07.03/applications/party/data/PartyPortletData.xml
2016-05-05 23:21:24,278 |main                 |EntitySaxReader               |I| Beginning import from URL: file:/home/steven/repository/socialmanagement/docker/playground/ofbiz/apache-ofbiz-13.07.03/applications/securityext/data/SecurityPermissionSeedData.xml
2016-05-05 23:21:24,279 |main                 |EntitySaxReader               |I| Transaction Timeout set to 2 hours (7200 seconds)
2016-05-05 23:21:24,332 |main                 |EntitySaxReader               |I| Finished 4 values from file:/home/steven/repository/socialmanagement/docker/playground/ofbiz/apache-ofbiz-13.07.03/applications/securityext/data/SecurityPermissionSeedData.xml
2016-05-05 23:21:24,332 |main                 |EntitySaxReader               |I| Beginning import from URL: file:/home/steven/repository/socialmanagement/docker/playground/ofbiz/apache-ofbiz-13.07.03/applications/content/data/ContentTypeData.xml
2016-05-05 23:21:24,332 |main                 |EntitySaxReader               |I| Transaction Timeout set to 2 hours (7200 seconds)
2016-05-05 23:21:24,486 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexContentKeywords, triggered by rule on Entity: Content
2016-05-05 23:21:24,496 |main                 |AbstractEngine                |I| Loaded Service Locations: {entity-sync-http=http://localhost:8080/webtools/control/httpService, eedcc-test=http://localhost:8080/webtools/control/httpService, main-soap=http://localhost:8080/webtools/control/SOAPService, rita-rmi=rmi://localhost:1099/RMIDispatcher, main-http=http://localhost:8080/webtools/control/httpService, entity-sync-rmi=rmi://localhost:1099/RMIDispatcher, main-rmi=rmi://localhost:1099/RMIDispatcher}
2016-05-05 23:21:25,184 |main                 |ScriptUtil                    |I| The following 3 scripting engines were found:
2016-05-05 23:21:25,232 |main                 |ScriptUtil                    |I| Engine name: Rhino
2016-05-05 23:21:25,232 |main                 |ScriptUtil                    |I|   Version: Rhino 1.7 release 4 2013 08 27
2016-05-05 23:21:25,233 |main                 |ScriptUtil                    |I|   Language: ECMAScript
2016-05-05 23:21:25,233 |main                 |ScriptUtil                    |I|   Engine supports the following extensions:
2016-05-05 23:21:25,233 |main                 |ScriptUtil                    |I|     js
2016-05-05 23:21:25,233 |main                 |ScriptUtil                    |I|   Engine has the following short names:
2016-05-05 23:21:25,234 |main                 |ScriptUtil                    |I|     js
2016-05-05 23:21:25,234 |main                 |ScriptUtil                    |I|     rhino
2016-05-05 23:21:25,234 |main                 |ScriptUtil                    |I|     JavaScript
2016-05-05 23:21:25,235 |main                 |ScriptUtil                    |I|     javascript
2016-05-05 23:21:25,235 |main                 |ScriptUtil                    |I|     ECMAScript
2016-05-05 23:21:25,235 |main                 |ScriptUtil                    |I|     ecmascript
2016-05-05 23:21:25,236 |main                 |ScriptUtil                    |I| Engine name: BeanShell Engine
2016-05-05 23:21:25,236 |main                 |ScriptUtil                    |I|   Version: 1.0
2016-05-05 23:21:25,236 |main                 |ScriptUtil                    |I|   Language: BeanShell
2016-05-05 23:21:25,236 |main                 |ScriptUtil                    |I|   Engine supports the following extensions:
2016-05-05 23:21:25,237 |main                 |ScriptUtil                    |I|     bsh
2016-05-05 23:21:25,237 |main                 |ScriptUtil                    |I|     java
2016-05-05 23:21:25,237 |main                 |ScriptUtil                    |I|   Engine has the following short names:
